"Story","Title","Result","Date","Stability","Duration (s)"
"Convertir temperatura - Celsius a Fahrenheit","Convertir grados celius a grados fahrenheit pasando valores validos","SUCCESS","2021-10-23T11:30:22.2587813-05:00[America/Bogota]","0.0","7.47"
"Convertir temperatura - Celsius a Fahrenheit","Convertir grados celius a grados fahrenheit pasando valores invalidos","SUCCESS","2021-10-23T11:30:29.7593646-05:00[America/Bogota]","0.0","0.57"
